Incident_ID,Date,Year,Month,Day,Role,Victim,Gender,Age,Date_of_Death
2017-0076,2017-06-13,2017,6,13,Pedestrian,Pedestrian,Female,30,2017-06-13
2017-0077,2017-06-17,2017,6,17,Driver,Motorcycle,Female,60,2017-06-18
2017-0079,2017-06-19,2017,6,19,Driver,Motorcycle,Male,33,2017-06-19
2017-0080,2017-06-22,2017,6,22,Pedestrian,Pedestrian,Female,95,2017-06-22
2017-0082,2017-06-25,2017,6,25,Pedestrian,Pedestrian,Male,36,2017-06-25
2017-0083,2017-07-04,2017,7,4,Driver,Motorcycle,Male,37,2017-07-04
2017-0084,2017-07-05,2017,7,5,Pedestrian,Pedestrian,Female,73,2017-07-05
2017-0085,2017-07-07,2017,7,7,Pedestrian,Pedestrian,Male,84,2017-07-07
2017-0086,2017-07-09,2017,7,9,Pedestrian,Pedestrian,Female,30,2017-07-09
2017-0087,2017-07-10,2017,7,10,Pedestrian,Pedestrian,Female,73,2017-07-10
2017-0088,2017-07-10,2017,7,10,Pedestrian,Pedestrian,Male,43,2017-07-10
2017-0089,2017-07-13,2017,7,13,No Data,No Data,Male,23,
2017-0090,2017-07-15,2017,7,15,Pedestrian,Pedestrian,Male,22,2017-07-15
2017-0091,2017-07-15,2017,7,15,Driver,Motorcycle,Male,58,2017-07-15
2017-0092,2017-07-24,2017,7,24,Pedestrian,Pedestrian,Male,66,2017-07-24
2017-0093,2017-07-25,2017,7,25,Pedestrian,Pedestrian,Male,42,2017-07-25
2017-0094,2017-07-27,2017,7,27,Cyclist,Bicycle,Female,56,2017-07-27
2017-0095,2017-08-06,2017,8,6,Driver,Motorcycle,Male,36,2017-08-06
2017-0096,2017-08-07,2017,8,7,Pedestrian,Pedestrian,Male,87,2017-08-07
2017-0098,2017-08-08,2017,8,8,Pedestrian,Pedestrian,Female,61,2017-08-08
2017-0099,2017-08-17,2017,8,17,Cyclist,Bicycle,Male,28,2017-08-17
2017-0100,2017-08-21,2017,8,21,Passenger_Companion,Motorcycle,Female,16,2017-08-21
2017-0101,2017-08-23,2017,8,23,Pedestrian,Pedestrian,Female,61,2017-08-23
2017-0102,2017-08-24,2017,8,24,Pedestrian,Pedestrian,Male,46,2017-08-24
2017-0104,2017-08-25,2017,8,25,Pedestrian,Pedestrian,Female,18,2017-08-25
2017-0106,2017-08-31,2017,8,31,Pedestrian,Pedestrian,Female,85,2017-08-31
2017-0107,2017-09-01,2017,9,1,Driver,Motorcycle,Male,41,2017-09-01
2017-0108,2017-09-02,2017,9,2,Passenger_Companion,Car,Male,17,2017-09-02
2017-0108,2017-09-02,2017,9,2,Passenger_Companion,Car,Male,10,2017-09-02
2017-0109,2017-09-04,2017,9,4,Driver,Motorcycle,Male,21,2017-09-05
2017-0110,2017-09-06,2017,9,6,Pedestrian,Pedestrian,Male,56,2017-09-07
2017-0111,2017-09-07,2017,9,7,Pedestrian,Pedestrian,Female,79,2017-09-07
2017-0112,2017-09-10,2017,9,10,Passenger_Companion,Car,Male,1,
2017-0112,2017-09-10,2017,9,10,Passenger_Companion,Car,Male,42,2017-09-13
2017-0113,2017-09-11,2017,9,11,Pedestrian,Pedestrian,Female,76,2017-09-11
2017-0114,2017-09-15,2017,9,15,Driver,Car,Male,26,2017-09-15
2017-0115,2017-09-19,2017,9,19,Driver,Motorcycle,Male,34,
2017-0116,2017-09-20,2017,9,20,Driver,Motorcycle,Male,22,2017-09-20
2017-0118,2017-09-22,2017,9,22,Passenger_Companion,Motorcycle,Female,26,2017-09-29
2017-0120,2017-10-02,2017,10,2,Driver,Motorcycle,Male,20,2017-10-02
2017-0123,2017-10-10,2017,10,10,Pedestrian,Pedestrian,Female,36,2017-10-10
2017-0124,2017-10-12,2017,10,12,Driver,Motorcycle,Male,51,2017-10-12
2017-0125,2017-10-13,2017,10,13,Driver,Motorcycle,Male,29,2017-10-13
2017-0126,2017-10-14,2017,10,14,Passenger_Companion,Car,Male,39,
2017-0126,2017-10-14,2017,10,14,Driver,Car,Male,36,2017-10-14
2017-0127,2017-10-16,2017,10,16,Passenger_Companion,Motorcycle,Male,24,2017-10-16
2017-0128,2017-10-17,2017,10,17,Pedestrian,Pedestrian,Female,60,2017-10-17
2017-0129,2017-10-26,2017,10,26,Driver,Motorcycle,Male,57,2017-10-26
2017-0130,2017-10-27,2017,10,27,Driver,Car,Male,23,2017-10-27
2017-0132,2017-10-30,2017,10,30,Driver,Motorcycle,Male,23,2017-10-30
2017-0134,2017-11-06,2017,11,6,Pedestrian,Pedestrian,Female,47,2017-11-06
2017-0135,2017-11-07,2017,11,7,Driver,Motorcycle,Male,24,2017-11-07
2017-0136,2017-11-16,2017,11,16,Pedestrian,Pedestrian,Male,55,2017-11-16
2017-0137,2017-11-17,2017,11,17,Pedestrian,Pedestrian,Female,60,2017-11-17
2017-0138,2017-11-19,2017,11,19,Passenger_Companion,Motorcycle,Male,25,2017-11-19
2017-0139,2017-11-19,2017,11,19,Passenger_Companion,Car,Female,15,2017-11-19
2017-0140,2017-11-19,2017,11,19,Driver,Motorcycle,Male,24,2017-11-19
2017-0141,2017-11-23,2017,11,23,Pedestrian,Pedestrian,Female,22,2017-11-23
2017-0143,2017-11-25,2017,11,25,Driver,Car,Male,50,2017-11-25
2017-0144,2017-11-26,2017,11,26,Passenger_Companion,Car,Female,50,2017-11-26
2017-0145,2017-11-26,2017,11,26,Driver,Motorcycle,Male,58,2017-11-26
2017-0147,2017-11-28,2017,11,28,Driver,Motorcycle,Male,49,2017-11-28
2017-0148,2017-11-29,2017,11,29,Pedestrian,Pedestrian,Female,82,2017-11-29
2017-0149,2017-11-30,2017,11,30,Pedestrian,Pedestrian,Male,13,2017-11-30
2017-0150,2017-12-04,2017,12,4,Pedestrian,Pedestrian,Male,56,2017-12-04
2017-0151,2017-12-04,2017,12,4,Pedestrian,Pedestrian,Male,42,2017-12-04
2017-0152,2017-12-06,2017,12,6,Cyclist,Bicycle,Male,19,2017-12-06
2017-0153,2017-12-11,2017,12,11,Passenger_Companion,Motorcycle,Male,42,2017-12-12
2017-0153,2017-12-11,2017,12,11,Driver,Motorcycle,Male,30,2017-12-12
2017-0154,2017-12-11,2017,12,11,Pedestrian,Pedestrian,Male,76,2017-12-11
2017-0155,2017-12-12,2017,12,12,No Data,No Data,Male,77,
2017-0157,2017-12-17,2017,12,17,Driver,Car,Male,53,2017-12-17
2017-0158,2017-12-18,2017,12,18,Driver,Motorcycle,Male,32,2017-12-18
2017-0159,2017-12-20,2017,12,20,Driver,Motorcycle,Male,27,2017-12-20
2017-0160,2017-12-22,2017,12,22,Pedestrian,Pedestrian,Female,30,2017-12-22
2017-0161,2017-12-26,2017,12,26,Pedestrian,Pedestrian,Female,30,2017-12-26
2018-0001,2018-01-01,2018,1,1,Pedestrian,Pedestrian,Male,83,2018-01-02
2018-0002,2018-01-03,2018,1,3,Cyclist,Bicycle,Female,26,2018-01-03
2018-0003,2018-01-05,2018,1,5,Pedestrian,Pedestrian,Female,58,2018-01-05
2018-0004,2018-01-09,2018,1,9,Driver,Motorcycle,Male,39,2018-01-09
2018-0005,2018-01-09,2018,1,9,Pedestrian,Pedestrian,Male,54,2018-01-09
2018-0006,2018-01-10,2018,1,10,Cyclist,Bicycle,Female,45,2018-01-10
2018-0007,2018-01-11,2018,1,11,Driver,Car,Male,46,2018-01-11
2018-0008,2018-01-12,2018,1,12,Driver,Motorcycle,Female,32,2018-01-12
2018-0009,2018-01-14,2018,1,14,Driver,Motorcycle,Male,19,2018-01-14
2018-0010,2018-01-18,2018,1,18,Driver,Motorcycle,Male,40,2018-01-18
2018-0011,2018-01-19,2018,1,19,Pedestrian,Pedestrian,Male,84,2018-01-19
2018-0012,2018-01-26,2018,1,26,Driver,Motorcycle,Male,20,2018-01-26
2018-0013,2018-01-28,2018,1,28,Driver,Motorcycle,Male,44,2018-01-28
2018-0014,2018-01-31,2018,1,31,Pedestrian,Pedestrian,Male,42,2018-02-04
2018-0015,2018-02-06,2018,2,6,Driver,Motorcycle,Male,28,2018-02-06
2018-0015,2018-02-06,2018,2,6,Passenger_Companion,Motorcycle,Male,19,2018-02-06
2018-0016,2018-02-15,2018,2,15,Driver,Motorcycle,Male,31,2018-02-15
2018-0017,2018-02-17,2018,2,17,Pedestrian,Pedestrian,Male,35,2018-02-20
2018-0018,2018-02-17,2018,2,17,Driver,Motorcycle,Male,26,2018-02-17
2018-0019,2018-02-17,2018,2,17,Pedestrian,Pedestrian,Female,80,2018-02-17
2018-0020,2018-02-19,2018,2,19,Driver,Motorcycle,Male,26,2018-02-19
2018-0021,2018-02-22,2018,2,22,Pedestrian,Pedestrian,Female,62,2018-02-22
2018-0022,2018-02-24,2018,2,24,Driver,Motorcycle,Male,28,2018-02-24
2018-0023,2018-02-24,2018,2,24,Driver,Motorcycle,Male,28,2018-02-24
2018-0024,2018-02-28,2018,2,28,Pedestrian,Pedestrian,Male,70,2018-02-28
2018-0025,2018-03-04,2018,3,4,Pedestrian,Pedestrian,Male,70,2018-03-05
2018-0026,2018-03-09,2018,3,9,Driver,Emergency Vehicle,Male,24,2018-03-09
2018-0026,2018-03-09,2018,3,9,Passenger_Companion,Emergency Vehicle,Male,30,2018-03-09
2018-0027,2018-03-11,2018,3,11,Pedestrian,Pedestrian,Female,74,2018-03-11
2018-0028,2018-03-13,2018,3,13,Pedestrian,Pedestrian,Male,71,2018-03-13
2018-0029,2018-03-15,2018,3,15,Driver,Motorcycle,Male,26,2018-03-15
