ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2017-0008,16/01/2017,2017,1,16,CONDUCTOR,MOTO,MASCULINO,29,16/01/2017
2017-0009,16/01/2017,2017,1,16,CONDUCTOR,MOTO,MASCULINO,36,16/01/2017
2017-0010,16/01/2017,2017,1,16,CONDUCTOR,MOTO,MASCULINO,23,16/01/2017
2017-0011,22/01/2017,2017,1,22,PASAJERO_ACOMPA¥ANTE,MOTO,FEMENINO,29,22/01/2017
2017-0012,24/01/2017,2017,1,24,CONDUCTOR,MOTO,MASCULINO,30,24/01/2017
2017-0013,27/01/2017,2017,1,27,PEATON,PEATON,MASCULINO,4,27/01/2017
2017-0014,28/01/2017,2017,1,28,PASAJERO_ACOMPA¥ANTE,MOTO,FEMENINO,22,28/01/2017
2017-0015,02/02/2017,2017,2,2,PEATON,PEATON,MASCULINO,82,21/02/2017
2017-0016,03/02/2017,2017,2,3,CONDUCTOR,MOTO,MASCULINO,27,04/02/2017
2017-0017,06/02/2017,2017,2,6,CONDUCTOR,MOTO,MASCULINO,32,06/02/2017
2017-0018,09/02/2017,2017,2,9,CONDUCTOR,MOTO,MASCULINO,30,09/02/2017
2017-0021,18/02/2017,2017,2,18,CONDUCTOR,MOTO,MASCULINO,43,18/02/2017
2017-0024,23/02/2017,2017,2,23,PEATON,PEATON,MASCULINO,39,23/02/2017
2017-0025,24/02/2017,2017,2,24,CONDUCTOR,MOTO,MASCULINO,23,24/02/2017
2017-0026,26/02/2017,2017,2,26,PASAJERO_ACOMPA¥ANTE,AUTO,FEMENINO,23,26/02/2017
2017-0026,26/02/2017,2017,2,26,CONDUCTOR,AUTO,MASCULINO,19,26/02/2017
2017-0027,26/02/2017,2017,2,26,PEATON,PEATON,MASCULINO,SD,26/02/2017
2017-0028,28/02/2017,2017,2,28,PEATON,PEATON,MASCULINO,87,28/02/2017
2017-0029,07/03/2017,2017,3,7,SD,SD,MASCULINO,34,07/03/2017
2017-0030,07/03/2017,2017,3,7,CONDUCTOR,AUTO,FEMENINO,27,07/03/2017
2017-0031,11/03/2017,2017,3,11,PASAJERO_ACOMPA¥ANTE,AUTO,MASCULINO,70,11/03/2017
2017-0032,12/03/2017,2017,3,12,PASAJERO_ACOMPA¥ANTE,AUTO,FEMENINO,40,12/03/2017
2017-0033,12/03/2017,2017,3,12,CONDUCTOR,AUTO,MASCULINO,28,12/03/2017
2017-0034,13/03/2017,2017,3,13,PEATON,PEATON,MASCULINO,43,13/03/2017
2017-0035,23/03/2017,2017,3,23,CONDUCTOR,AUTO,MASCULINO,28,23/03/2017
2017-0035,23/03/2017,2017,3,23,PASAJERO_ACOMPA¥ANTE,AUTO,MASCULINO,32,23/03/2017
2017-0035,23/03/2017,2017,3,23,PASAJERO_ACOMPA¥ANTE,AUTO,MASCULINO,30,23/03/2017
2017-0036,29/03/2017,2017,3,29,PASAJERO_ACOMPA¥ANTE,MOTO,FEMENINO,SD,29/03/2017
2017-0036,29/03/2017,2017,3,29,CONDUCTOR,MOTO,MASCULINO,20,29/03/2017
2017-0037,31/03/2017,2017,3,31,CONDUCTOR,MOTO,MASCULINO,41,31/03/2017
2017-0038,01/04/2017,2017,4,1,CONDUCTOR,MOTO,FEMENINO,40,01/04/2017
2017-0040,03/04/2017,2017,4,3,CONDUCTOR,AUTO,MASCULINO,43,03/04/2017
2017-0041,03/04/2017,2017,4,3,CONDUCTOR,MOTO,MASCULINO,17,SD
2017-0042,10/04/2017,2017,4,10,CONDUCTOR,MOTO,MASCULINO,SD,10/04/2017
2017-0045,14/04/2017,2017,4,14,CONDUCTOR,MOTO,MASCULINO,21,14/04/2017
2017-0047,23/04/2017,2017,4,23,CONDUCTOR,MOTO,MASCULINO,37,23/04/2017
2017-0049,27/04/2017,2017,4,27,PEATON,PEATON,MASCULINO,22,27/04/2017
2017-0050,28/04/2017,2017,4,28,CONDUCTOR,MOTO,MASCULINO,46,28/04/2017
2017-0050,28/04/2017,2017,4,28,PASAJERO_ACOMPA¥ANTE,MOTO,MASCULINO,16,28/04/2017
2017-0051,01/05/2017,2017,5,1,CONDUCTOR,AUTO,MASCULINO,33,01/05/2017
2017-0052,05/05/2017,2017,5,5,PEATON,PEATON,FEMENINO,47,05/05/2017
2017-0053,05/05/2017,2017,5,5,CONDUCTOR,MOTO,MASCULINO,28,05/05/2017
2017-0054,07/05/2017,2017,5,7,PASAJERO_ACOMPA¥ANTE,MOTO,FEMENINO,20,07/05/2017
2017-0055,09/05/2017,2017,5,9,CONDUCTOR,AUTO,MASCULINO,32,09/05/2017
2017-0058,09/05/2017,2017,5,9,PEATON,PEATON,MASCULINO,80,09/05/2017
2017-0059,11/05/2017,2017,5,11,PEATON,PEATON,FEMENINO,39,11/05/2017
2017-0060,13/05/2017,2017,5,13,PASAJERO_ACOMPA¥ANTE,MOTO,MASCULINO,30,13/05/2017
2017-0061,15/05/2017,2017,5,15,PEATON,PEATON,MASCULINO,47,16/05/2017
2017-0062,15/05/2017,2017,5,15,CONDUCTOR,MOTO,MASCULINO,35,15/05/2017
2017-0063,17/05/2017,2017,5,17,PEATON,PEATON,FEMENINO,79,17/05/2017
2017-0064,20/05/2017,2017,5,20,PASAJERO_ACOMPA¥ANTE,CARGAS,MASCULINO,61,20/05/2017
2017-0065,22/05/2017,2017,5,22,CICLISTA,BICICLETA,MASCULINO,21,22/05/2017
2017-0066,22/05/2017,2017,5,22,PEATON,PEATON,MASCULINO,10,22/05/2017
2017-0067,23/05/2017,2017,5,23,CONDUCTOR,MOTO,MASCULINO,21,23/05/2017
2017-0068,27/05/2017,2017,5,27,CONDUCTOR,MOTO,MASCULINO,32,27/05/2017
2017-0069,29/05/2017,2017,5,29,CONDUCTOR,MOTO,MASCULINO,39,29/05/2017
2017-0070,30/05/2017,2017,5,30,PEATON,PEATON,MASCULINO,80,31/05/2017
2017-0072,03/06/2017,2017,6,3,CONDUCTOR,AUTO,MASCULINO,25,03/06/2017
2017-0073,04/06/2017,2017,6,4,CONDUCTOR,MOTO,MASCULINO,19,04/06/2017
2017-0074,04/06/2017,2017,6,4,SD,SD,MASCULINO,70,04/06/2017
